Spine	Structure	Term	Reference
PecSpine	A	Curved flange	Alexander1965
PecSpine	A	Articular plateau	Otero2009
PecSpine	A	Surface cleithrale	Gayet1990
PecSpine	A	Cleithral process	Argyriou2015
PecSpine	A	Dorsal process of spine	Brousseau1976
PecSpine	A	Dorsal process of spine	Cione2005
PecSpine	A	Dorsal condyle	Diogo2004
PecSpine	A	Dorsal condyle	Diogo2007b
PecSpine	A	Dorsal articulating process	Divay2015
PecSpine	A	Expanded flange	Eigenmann1925
PecSpine	A	Articular plateau	Pinton2006
PecSpine	A	Articular plateau	Pinton2010
PecSpine	A	Dorsal articulating surface	Hubbs1951
PecSpine	A	Dorsal process	Hubbs1951
PecSpine	A	Dorsal process	Kaatz2010
PecSpine	A	Dorsal process	Paloumpis1963
PecSpine	A	Dorsal process	Parmentier2010
PecSpine	A	Dorsal process	Miano2013
PecSpine	A	delta	Sörensen in Hubbs1951
PecSpine	A	arched crest	Bunkenroad in Hubbs1951
PecSpine	A	2	Merriman in Hubbs1951
PecSpine	A	Helicoidal semidisk	Royero1999
PecSpine	A	Dorsal articulating process	Vanscoy2015
PecSpine	B	Proximal tubercle	Hubbs1951
PecSpine	B	Processus axial	Gayet1990
PecSpine	B	Anterior process of dorsal condyle	Diogo2007b
PecSpine	B	Axial process	Parmentier2010
PecSpine	B	Axial process	Pinton2010
PecSpine	B	Median process of dorsal condyle	Diogo2004
PecSpine	B	Median process of dorsal condyle	Diogo2007a
PecSpine	B	Median process of dorsal condyle	Diogo2007b
PecSpine	B	Median process of dorsal condyle	Diogo2006a
PecSpine	B	Median process of dorsal condyle	Diogo2003a
PecSpine	B	Median process of dorsal condyle	Diogo2001
PecSpine	B	Rotator process	Royero1999
PecSpine	C	Dorsomedian process	Diogo2006
PecSpine	C	Posterior process	Hubbs1951
PecSpine	C	Proximal process	Otero2009
PecSpine	D	Cotyle of spine	Brousseau1976
PecSpine	D	Articular groove	Pinton2010
PecSpine	D	Central articulating surface	Hubbs1951
PecSpine	D	Articular facet for scapulocoracoid	Diogo2006
PecSpine	D	Articular facet for scapulocoracoid	Diogo2006
PecSpine	D	Articular notch (fossa)	Vanscoy2015
PecSpine	E	Posterior fossa	Hubbs1951
PecSpine	E	Central articulating surface	Paloumpis1963
PecSpine	F	Furrow	Divay2015
PecSpine	F	Posterior groove	Hubbs1951
PecSpine	F	Posterior groove	Lundberg1975
PecSpine	F	Posterior groove	Paloumpis1963
PecSpine	F	Sulcus	Cione2005
PecSpine	G	Fosse interne	Gayet1990
PecSpine	G	Proximal foramen	Bennett1979
PecSpine	G	Hendidura basal	Bisbal1986
PecSpine	G	Nutritive canal	Brousseau1976
PecSpine	G	Inner hole	Pinton2006
PecSpine	G	Posterior basal recess	Divay2015
PecSpine	G	Basal recess	Hubbs1951
PecSpine	G	Proximal foramen	Cione2005
PecSpine	G	Inner fossa	Otero2009
PecSpine	G	Inner fossa	Pinton2010
PecSpine	G	Basal recess	Paloumpis1963
PecSpine	G	Foramen	Royero1999
PecSpine	G	Basal recess	Vanscoy2015
PecSpine	H	Basal process	Hubbs1951
PecSpine	I	Medial flange for insertion of superficialis abductor muscle	Brousseau1976
PecSpine	I	Distal lobe	Hubbs1951
PecSpine	J	Insertion surface for ventral arrector part z muscle	Brousseau1976
PecSpine	J	Insertion for arrector dorsalis dorsal division muscle	Diogo2001
PecSpine	J	Anterior basal recess	Divay2015
PecSpine	J	Anterior fossa	Hubbs1951
PecSpine	K	Processus dorso-latéral	Gayet1990
PecSpine	K	Anteroventral process	Parmentier2010
PecSpine	K	Dorsolateral process	Argyriou2015
