Name	Spine	Reference
Asserraciones	Dorsal	\citep{Royero1999}
Corrugaciones	Dorsal	\citep{Royero1999}
Crenulated	Dorsal	\citep{Eigenmann1890}
Crête anterieur médian	Dorsal	\citep{Gayet1990}
Dentations	Dorsal	\citep{Lucena1992,Lundberg1975,Parisi2006}
Dentelures	Dorsal	\citep{Cuvier1840}
Denticulations	Dorsal	\citep{Vigliotta2008}
Dentículos	Dorsal	\citep{Royero1999}
Erect	Dorsal	\citep{Parisi2006}
Granulate	Dorsal	\citep{Thomson2006}
Granulée	Dorsal	\citep{Cuvier1840}
Granules	Dorsal	\citep{Eigenmann1890}
Granuloso	Dorsal	\citep{Royero1999}
Grooves	Dorsal	\citep{Eigenmann1925}
Keels	Dorsal	\citep{Eigenmann1925}
Longitudinal keel	Dorsal	\citep{Greenwood1959}
Longitudinal ridge	Dorsal	\citep{Divay2015}
Median crest	Dorsal	\citep{Otero2007,Pinton2010}
Pits between striations	Dorsal	\citep{Divay2015}
Recurved notches	Dorsal	\citep{Eigenmann1890}
Recurved teeth	Dorsal	\citep{Eigenmann1890}
Ridges	Dorsal	\citep{Eigenmann1925,Lundberg1975}
Serrae	Dorsal	\citep{Parisi2006,Thomson2006,Vigliotta2008,Wright2009}
Serrate	Dorsal	\citep{Cuvier1840,Eigenmann1890,Eigenmann1925,Eigenmann1925}
Serrations	Dorsal	\citep{Ferraris1989,Greenwood1959,Reed1924,SabajPerez2008,Trapani2008,Watanabe1999}
Sierras romas y poco desarrolladas	Dorsal	\citep{Royero1999}
Sinuous striations	Dorsal	\citep{Divay2015}
Straight teeth	Dorsal	\citep{Eigenmann1890}
Striae	Dorsal	\citep{Cione2005}
Striate	Dorsal	\citep{Eigenmann1890,Eigenmann1925,Lundberg1975}
Teeth	Dorsal	\citep{Mees1974}
Thorns	Dorsal	\citep{Eigenmann1925}
Tubercles	Dorsal	\citep{Lundberg1975,Pinton2010}
Tubercules	Dorsal	\citep{Gayet1990}
Barbs	Pectoral	\citep{Paruch1986}
Bifid dentations	Pectoral	\citep{Bennett1979}
Bifid serrations	Pectoral	\citep{Ohara2016,Tencatt2016,Wosiacki2014}
Bristly	Pectoral	\citep{Eigenmann1890}
Bumps	Pectoral	\citep{Smith1987}
Conical dentations	Pectoral	\citep{Lundberg1975}
Crenelée	Pectoral	\citep{Cuvier1840}
Dens	Pectoral	\citep{Cuvier1840}
Dentate	Pectoral	\citep{Eigenmann1890,Hubbs1951,Jordan1880}
