Name	Spine	Reference
Asserraciones	Dorsal	Royero1999
Corrugaciones	Dorsal	Royero1999
Crenulated	Dorsal	Eigenmann1890
Crête anterieur médian	Dorsal	Gayet1990
Dentations	Dorsal	Lucena1992
Dentations	Dorsal	Lundberg1975
Dentations	Dorsal	Parisi2006
Dentelures	Dorsal	Cuvier1840
Denticulations	Dorsal	Vigliotta2008
Dentículos	Dorsal	Royero1999
Erect	Dorsal	Parisi2006
Granulate	Dorsal	Thomson2006
Granulée	Dorsal	Cuvier1840
Granules	Dorsal	Eigenmann1890
Granuloso	Dorsal	Royero1999
Grooves	Dorsal	Eigenmann1925
Keels	Dorsal	Eigenmann1925
Longitudinal keel	Dorsal	Greenwood1959
Longitudinal ridge	Dorsal	Divay2015
Median crest	Dorsal	Otero2007
Median crest	Dorsal	Pinton2010
Pits between striations	Dorsal	Divay2015
Recurved notches	Dorsal	Eigenmann1890
Recurved teeth	Dorsal	Eigenmann1890
Ridges	Dorsal	Eigenmann1925
Ridges	Dorsal	Lundberg1975
Serrae	Dorsal	Parisi2006
Serrae	Dorsal	Thomson2006
Serrae	Dorsal	Vigliotta2008
Serrae	Dorsal	Wright2009
Serrate	Dorsal	Cuvier1840
Serrate	Dorsal	Eigenmann1890
Serrate	Dorsal	Eigenmann1925
Serrate	Dorsal	Eigenmann1925
Serrations	Dorsal	Ferraris1989
Serrations	Dorsal	Greenwood1959
Serrations	Dorsal	Reed1924
Serrations	Dorsal	SabajPerez2008
Serrations	Dorsal	Trapani2008
Serrations	Dorsal	Watanabe1999
Sierras romas y poco desarrolladas	Dorsal	Royero1999
Sinuous striations	Dorsal	Divay2015
Straight teeth	Dorsal	Eigenmann1890
Striae	Dorsal	Cione2005
Striate	Dorsal	Eigenmann1890
Striate	Dorsal	Eigenmann1925
Striate	Dorsal	Lundberg1975
Teeth	Dorsal	Mees1974
Thorns	Dorsal	Eigenmann1925
Tubercles	Dorsal	Lundberg1975
Tubercles	Dorsal	Pinton2010
Tubercules	Dorsal	Gayet1990
Barbs	Pectoral	Paruch1986
Bifid dentations	Pectoral	Bennett1979
Bifid serrations	Pectoral	Ohara2016
Bifid serrations	Pectoral	Tencatt2016
Bifid serrations	Pectoral	Wosiacki2014
Bristly	Pectoral	Eigenmann1890
Bumps	Pectoral	Smith1987
Conical dentations	Pectoral	Lundberg1975
Crenelée	Pectoral	Cuvier1840
Dens	Pectoral	Cuvier1840
Dentate	Pectoral	Eigenmann1890
Dentate	Pectoral	Hubbs1951
Dentate	Pectoral	Jordan1880
Dentations	Pectoral	Bennett1979
Dentations	Pectoral	Bornbusch1991
Dentations	Pectoral	Diogo2007a
Dentations	Pectoral	Hubbs1951
Dentations	Pectoral	Lucena1992
Dentations	Pectoral	Lundberg1975
Dentations	Pectoral	Lundberg1986
Dentations	Pectoral	Lundberg2004
Dentations	Pectoral	Paloumpis1963
Dentations	Pectoral	Parisi2006
Dentations	Pectoral	Smith1987
Dentations	Pectoral	Vanscoy2015
Dentato	Pectoral	Linnaeus1758
Dentelures	Pectoral	Cuvier1840
Denticles	Pectoral	Pinton2006
Denticulations	Pectoral	Vigliotta2008
Denticules	Pectoral	Gayet1990
Dientes	Pectoral	Bisbal1986
Épines	Pectoral	Gayet1990
Erect	Pectoral	Hubbs1951
Erect	Pectoral	Lundberg1975
Extrorse	Pectoral	Eigenmann1890
Granular	Pectoral	Eigenmann1888
Granular	Pectoral	Eigenmann1890
Granular	Pectoral	Eigenmann1890
Granulate	Pectoral	Thomson2006
Granulée	Pectoral	Cuvier1840
Hispid	Pectoral	Eigenmann1890
Hooked dentations	Pectoral	Vanscoy2015
Hooks	Pectoral	Eigenmann1888
Hooks	Pectoral	Eigenmann1890
Hooks	Pectoral	Eigenmann1925
Hooks	Pectoral	Mees1974
Hooks	Pectoral	Parisi2006
Hooks	Pectoral	Shibatta2005c
Lamellae	Pectoral	Eigenmann1890
Laminar serrations	Pectoral	Tencatt2016a
Multicuspid dentations	Pectoral	Vanscoy2015
Multifid dentations	Pectoral	Lundberg1975
Multifid dentations	Pectoral	Smith1987
Notches	Pectoral	Eigenmann1890
Notches	Pectoral	Paloumpis1963
Notches	Pectoral	Paruch1986
Pectinate	Pectoral	Eigenmann1890
Protuberancia	Pectoral	Bisbal1986
Retrodentatus	Pectoral	Linnaeus1758
Roughened	Pectoral	Eigenmann1888
Roughish	Pectoral	Jordan1880
Roughness	Pectoral	Page2007
Rugose	Pectoral	Hubbs1951
Serrae	Pectoral	Bornbusch1991
Serrae	Pectoral	Bosher2006
Serrae	Pectoral	Diogo2003
Serrae	Pectoral	Eigenmann1980
Serrae	Pectoral	Evermann1898
Serrae	Pectoral	Geerinckx2004
Serrae	Pectoral	Jordan1880
Serrae	Pectoral	Lundberg1975
Serrae	Pectoral	Lundberg1986
Serrae	Pectoral	Mees1974
Serrae	Pectoral	Page2007
Serrae	Pectoral	Parisi2006
Serrae	Pectoral	Smith1987
Serrae	Pectoral	Vanscoy2015
Serrae	Pectoral	Vigliotta2008
Serrae	Pectoral	Wright2009
Serrata	Pectoral	Linnaeus1758
Serrated	Pectoral	Chen1995
Serrated	Pectoral	Eigenmann1888
Serrated	Pectoral	Eigenmann1890
Serrated	Pectoral	Eigenmann1925
Serrated	Pectoral	Eigenmann1925
Serrated	Pectoral	Ferraris1989
Serrated	Pectoral	Geerinckx2004
Serrated	Pectoral	Jordan1880
Serrated	Pectoral	Mees1974
Serrated	Pectoral	Parmentier2010
Serrated	Pectoral	Pinton2010
Serrated	Pectoral	Teugels2003
Serrated	Pectoral	Unlu2012
Serrated	Pectoral	VanNeer1992
Serrated	Pectoral	Wosiacki2014
Serrations	Pectoral	Cione2005
Serrations	Pectoral	Divay2015
Serrations	Pectoral	Egge2011
Serrations	Pectoral	Eigenmann1925
Serrations	Pectoral	Kaatz2010
Serrations	Pectoral	Ng2003
Serrations	Pectoral	Ohara2016
Serrations	Pectoral	Page2007
Serrations	Pectoral	Paloumpis1963
Serrations	Pectoral	Paruch1986
Serrations	Pectoral	Pinton2011
Serrations	Pectoral	Reed1924
Serrations	Pectoral	Royero1999
Serrations	Pectoral	SabajPerez2008
Serrations	Pectoral	Shibatta2005c
Serrations	Pectoral	Smith1987
Serrations	Pectoral	Tencatt2016
Serrations	Pectoral	Thomson2006
Serrations	Pectoral	Trapani2008
Serrations	Pectoral	Watanabe1999
Serrations	Pectoral	Wosiacki2014
Serratum	Pectoral	Arctaedius1738
Setiferous	Pectoral	Eigenmann1890
Spines	Pectoral	Boulenger1900
Spines	Pectoral	Eigenmann1890
Spines	Pectoral	Mees1974
Spinosus	Pectoral	Linnaeus1758
Spinous	Pectoral	Eigenmann1888
Spinous	Pectoral	Eigenmann1890
Spiny	Pectoral	Eigenmann1890
Striate	Pectoral	Eigenmann1890
Striate	Pectoral	Hubbs1951
Striate	Pectoral	Parisi2006
Striations	Pectoral	Divay2015
Striée	Pectoral	Cuvier1840
Stries	Pectoral	Gayet1990
Teeth	Pectoral	Eigenmann1888
Teeth	Pectoral	Eigenmann1890
Teeth	Pectoral	Mees1974
Teeth	Pectoral	Paloumpis1963
Teeth	Pectoral	Shibatta2005c
Thorns	Pectoral	Myers1927
Tubercles	Pectoral	Otero2009
Tubercles	Pectoral	Pinton2006
Tubercles	Pectoral	Pinton2010
Tubercules	Pectoral	Divay2015
Tubercules	Pectoral	Eigenmann1890
Tubercules	Pectoral	Gayet1990
Vermiculée	Pectoral	Cuvier1840
